правило_или_проверка_v7;файл_источник;место_в_v8;снято_и_почему
П.0 смысл и грамотность как первый пункт брака;COPY-AUDIT.md;docs/v8/rubric.md критерии 6 и 7 с весом 1;живет, но переехало в прибор качества. Этап 2 - судить текст в предпроектном анализе нечего
П.1 у блока есть функция Р Д К В;COPY-AUDIT.md;pages.yml колонка Ф у каждого из 30 блоков;живет и усилено. Функция задана заранее списком, а не проверяется после письма
П.1 блок привязан к боли или возражению;COPY-AUDIT.md;pages.yml колонка ВОПРОС плюс audience.segments[].pain в контракте;живет. Блок отвечает на вопрос читателя, привязка идет через сегмент, а не через поле covers
П.1 перекос блоков функции В больше половины;COPY-AUDIT.md;verify-data.mjs инвариант pages.yml и шаг набора про функции;живет машинно. Считается по составу блоков, а не по готовой странице
П.2 утечка кухни и жаргон маркетолога;COPY-AUDIT.md;constraints.forbidden и constraints.opsec в контракте;вход подготовлен на этапе 1, сама проверка текста - этап 2
П.3 регистр по решению заказчика без развязности;COPY-AUDIT.md;offer.tone плюс решение d5 гейта в apply-answers.mjs;живет. Тон стал полем контракта и решением гейта, а не пятым решением внутри текстов
П.4 метафоры по оси образности;COPY-AUDIT.md;offer.tone;этап 2. Оси регистра сняты, осталась одна строка тона - трехосевой словарь стоил дороже, чем давал
П.5 штампы мнение без факта в конкретику;COPY-AUDIT.md;facts[] с обязательным src и правило проверяемого факта;живет как источник. Штамп нечем заменить, если фактуры нет - вместо штампа заводится вопрос в gaps
П.6 самозащита и не более одного не на блок;COPY-AUDIT.md;docs/v8/rubric.md критерий 6;этап 2. Счетчик не в тексте, а в промте - инвариант запретов в наборе .claude/tests/site/run.mjs
П.7 аббревиатуры в Hero и H1;COPY-AUDIT.md;lexicon.translate в контракте;живет как вход. Расшифровка задается словарем проекта до письма
П.8 манипуляции и тест ФАС;COPY-AUDIT.md;constraints.forbidden и правило числа только из facts[];этап 2. Ложный дефицит проверяется по тексту, но источник числа закрыт уже здесь
П.9 все цифры сверены с FACTS;COPY-AUDIT.md;facts[] как единственный источник чисел, publish и artifact;живет и ужесточено. Число без единицы или без артефакта не считается проверяемым
П.9 плейсхолдеры и две ленты пометок;COPY-AUDIT.md;снято;снято сознательно. Плейсхолдер запрещен вовсе - блок без факта снимается или идет по FALLBACK из pages.yml
П.10 карта повторений внутри страницы;COPY-AUDIT.md;lexicon.canonical;этап 2. Канон задан здесь, счет повторов - в слое письма
П.11 лимиты длины слотов;COPY-AUDIT.md;pages.yml колонка ЗНАКИ каждого блока;живет. Лимит стал свойством блока в одном файле, а не полем в blueprint на каждую страницу
П.12 формула за счет и H2 как выгода;COPY-AUDIT.md;pages.yml колонка ЧТО ОТВЕТ ДЕЛАЕТ;этап 2. Формулировка - работа писателя, здесь задана только работа блока
П.13 OPSEC;COPY-AUDIT.md;constraints.opsec;живет. Стало полем контракта с потолком 300 знаков
П.13 типографика дефис и эмодзи;COPY-AUDIT.md;verify-data.mjs слой типографики и шаг набора по всем файлам этапа;живет и расширено на все файлы, а не только на тексты
П.14 противопоставления;COPY-AUDIT.md;снято;снято. Предупреждение без ворот в v7 не меняло ни одной страницы, а объем промта растило
П.15 заочный диагноз читателю;COPY-AUDIT.md;docs/v8/rubric.md критерий 3;этап 2 через рубрику. Отдельного правила нет - это частный случай непопадания в сегмент
П.16 пустой заголовок;COPY-AUDIT.md;pages.yml колонка ВОПРОС - заголовок обязан быть ответом;живет, переформулировано в положительную сторону
П.17 хвосты-досказывания;COPY-AUDIT.md;снято;снято. Правило работало только вместе с правом резать, а резать в v8 некому
П.18 образ плохого подрядчика;COPY-AUDIT.md;competitors.market.offers_seen без цифр;этап 2. Здесь закрыт источник - чужие обещания снимаются формой, а не сравнением
П.19 один профиль голоса и единое обращение;COPY-AUDIT.md;offer.tone;этап 2
П.20 канцелярит;COPY-AUDIT.md;docs/v8/rubric.md критерий 6;этап 2
П.21 бюджет текста и тест пропуска;COPY-AUDIT.md;pages.yml колонка ЗНАКИ и FALLBACK;живет. Вместо реза после письма - нижняя граница блока и право снять блок целиком
П.22 продающий минимум F1-F4;COPY-AUDIT.md;gates promise facts3 proof1 ready в контракте;живет и передвинуто раньше. Пол проверяется на данных до письма, а не на готовой странице
Лайт-прогон тон-гейта по трем вариантам главной;COPY-AUDIT.md;снято;снято вместе с тон-гейтом. Тон стал одним полем и одним вопросом гейта документа 1
Правило трех касаний контролера;COPY-AUDIT.md;снято;снято. Три контролера после писателя и были причиной усыхания текста
Разделение труда с verify-copy по номерам пунктов;COPY-AUDIT.md;снято;снято. Две нумерации одного правила ловили рассинхрон, а не дефекты
Приоритет 1 бить в боль ЦА;VOICE.md;audience.segments[].pain и pages.yml колонка ВОПРОС;живет. Боль приходит сводкой сегмента, а не полным досье
Приоритет 2 точность смысла и грамотность;VOICE.md;docs/v8/rubric.md критерии 6 и 7;этап 2
Приоритет 3 продает по формулам;VOICE.md;offer.promise и docs/v8/rubric.md критерий 1;живет в форме обещания, а не формулы
Говори словами клиента из цитат ЦА;VOICE.md;audience.words[] с ярлыком src;живет и уточнено. В кавычки идет только forum или client, persona дает смысл
Процедура пяти вопросов на блок;VOICE.md;pages.yml колонки ВОПРОС и ЧТО ОТВЕТ ДЕЛАЕТ;живет в сжатом виде. Два вопроса из пяти заданы заранее для каждого блока
Вы-позиция сто процентов текста про клиента;VOICE.md;docs/v8/rubric.md критерий 3;этап 2
Факт вместо мнения;VOICE.md;facts[] и reason.proof;живет. Причина без proof на страницу не идет
Просто для чтения и потолок 20 слов в предложении;VOICE.md;этап 2;этап 2. Правило письма, в контракте данных ему места нет
Превосходные степени только из facts;VOICE.md;facts[] с src и artifact;живет как источник
Формула выгоды за счет свойства;VOICE.md;offer.promise.how;живет одним полем вместо абзаца прозы
Шесть слов-пустышек с вопросом к каждому;VOICE.md;gaps[] - вопрос заказчику вместо пустышки;живет и усилено. Нет ответа - вопрос уходит в документ 2 и весит ровно столько блоков, сколько его ждут
Продавай жизнь после продукта;VOICE.md;offer.promise.result словами сегмента;живет. Источник обещания - идеальный результат портрета
Чего в тексте быть не должно;VOICE.md;constraints.forbidden и constraints.not_self;живет как список заказчика, а не как список свода
Бюджет текста и запрет доливать воду;VOICE.md;pages.yml колонка ЗНАКИ;живет. Недобора по вине реза больше нет, потому что нет реза
Голос и обращение;VOICE.md;offer.tone;этап 2
Чистота языка с двух сторон;VOICE.md;docs/v8/rubric.md критерий 6;этап 2
Честность с фактами и две ленты пометок;VOICE.md;facts[].publish и журнал исключений queue.mjs;живет. Служебная лента заменена журналом с обязательным основанием
Образцовый блок как единственный образец;VOICE.md;этап 2;живет и будет размножено. Инвариант набора требует, чтобы образцов было не меньше, чем запретов
Тесты перед сдачей своими руками;VOICE.md;docs/v8/rubric.md пункт как ставится балл;этап 2
Диета писателя и запрет читать лишние файлы;page-writer.md ADR-020;бюджет project.json 26000 знаков и потолки файлов в .claude/tests/site/run.mjs;живет и стало измеримым. Меряем знаки, а не список файлов
Обязательное чтение семи источников;page-writer.md;project.json как единственный машинный вход плюс pages.yml;живет. Источников два вместо семи
Запрет менять состав и порядок блоков;page-writer.md;состав выводится арифметикой из must_have и skel;живет. Согласовывать состав больше не с кем - гейт скелетов выброшен
Числа только из facts.json или плейсхолдер;page-writer.md;facts[] и запрет плейсхолдера;живет наполовину. Число только из facts[], а плейсхолдера нет вовсе
Флаг publish as-is alt no;page-writer.md;facts[].publish со значениями no и yes;живет в двух значениях. Третье значение alt снято - обобщенная форма это другой факт, а не флаг
Признак деликатной ниши opsec_restricted;page-writer.md;constraints.opsec;живет одной строкой вместо массива
Словарь проекта lexicon locked translate canonical;page-writer.md ADR-033;lexicon.locked lexicon.translate lexicon.canonical;живет целиком, форма упрощена до строк
Запрет переносить чужие цифры из разведки;page-writer.md;competitors.seen_numbers отдельным списком, писателю не показывается;живет и усилено. Чужие числа физически лежат не там, где числа проекта
Запрет выносить внутреннюю кухню;page-writer.md ADR-022;constraints.forbidden;живет
forbidden_wordings и not_in_assortment;page-writer.md;constraints.forbidden и constraints.not_selling;живет под именами контракта
Валидность JSON и перечитывание файла;page-writer.md;verify-data.mjs и build-project.mjs с exit 2;живет машинно вместо просьбы к агенту
Запрет длинного тире и буквы е с точками;page-writer.md ADR-023;verify-data.mjs build-project.mjs build-doc.mjs queue.mjs и шаг набора;живет во всех четырех скриптах и в тестах
Сводка оркестратору не длиннее восьми строк;page-writer.md;сводка не длиннее десяти строк в site-intake.md и site-market.md;живет
Жесткий и мягкий стоп-листы жаргона;verify-copy.mjs;constraints.forbidden;этап 2
Ложный дефицит и сверка остатка с facts;verify-copy.mjs;facts[] с artifact;этап 2
Формат реквизитов ИНН и ОГРН цифрами;verify-copy.mjs;маска в project.schema.json и шаг набора про 21 цифру;живет и передвинуто в самое начало. В v7 битый ИНН ловился на странице, теперь на входе
Лимит метатега description 160 знаков;verify-copy.mjs;этап 2;этап 2. Метатеги пишет второй скил
Лимиты слотов в строковой и структурной форме;verify-copy.mjs;pages.yml колонка ЗНАКИ одной строкой;живет. Две формы лимита сведены к одной
Правило ровно одного H1 и одного hero;verify-copy.mjs;pages.yml skel со знаком восклицания у несменяемых блоков;живет
Продающий пол F1 первый экран;verify-copy.mjs ADR-037;skel всех типов страниц начинается с hero или cat_intro со знаком восклицания;живет
